text,heading,chemicals
"Yellow needle-shaped single crystals of (cis-azo)(dioxane) were obtained by slow evaporation of a solution of cis-azo in dioxane. Structural analysis by single crystal X-ray diffraction revealed that the structure consists of zigzag chains held together by I···O halogen bonds (Figure 1b, also Supplementary Figure 2). The I···O distance of 2.854(2) Å (corresponding to the RXB parameter; (48) i.e., the ratio of the I···O distance to the sum of the van der Waals radii (49) of O and I atoms of 0.815 was found to be notably shorter than for the analogous (trans-azo)(dioxane) cocrystal (dI···O = 2.981(3) Å, RXB = 0.852). (37) The photoresponsive behavior of (cis-azo)(dioxane) crystals was studied under irradiation with either blue or green light, using wavelength 488, 515, or 532 nm, in which cis-azo absorbs (Supplementary Figure 3). Irradiation at the lowest light intensity was achieved using a 532 nm dispersed light-emitting diode (LED) of approximately 37 mW cm–2 output power at the source, placed 10 cm away from the crystal. Experiments at higher light intensities were performed using an in-house laser system (Supplementary Figure 4), which included one or two separate laser beams. In a typical experiment, the laser beam was passed through a 50:50 beam splitter, with the transmitted beam passing through a series of optical elements to increase and collimate the size of the beam prior to reaching the sample. The reflected beam, on the other hand, was passed through a different series of optical elements, including a neutral density filter and a convex lens, which reduced the diameter and thus increased the intensity of the beam, reaching the sample orthogonal to the transmitted beam. The use of this system enabled simple, shutter-controlled switching between a laser beam of lower light intensity with a larger diameter (the transmitted beam) and a beam of higher light intensity with a lower diameter (the reflected beam). The beam diameters were determined using the “knife edge” technique to be 78 ?m and 2 mm for the reflected and transmitted beams, respectively (Supplementary Figures 5 and 6).",result and discussion,"cis-azo, dioxane, halogen, trans-azo"
"Commercially available zeolite Y modulates the catalytic activity and selectivity of ultrasmall silver species during the Buchner reaction and the carbene addition to methylene and hydroxyl bonds, by simply exchanging the counter cations of the zeolite framework. The zeolite acts as a macroligand to tune the silver catalytic site, enabling the use of this cheap and recyclable solid catalyst for the in situ formation of carbenes from diazoacetate and selective insertion in different C–H (i.e., cyclohexane) and C–O (i.e., water) bonds. The amount of catalyst in the reaction can be as low as ?0.1 mol % silver. Besides, this reactivity allows deeply drying the HY zeolite framework by making the strongly adsorbed water molecules react with the in situ formed carbenes.",abstract,"zeolite, carbene, methylene, hydroxyl, diazoacetate, cyclohexane"
"Ag-supported zeolites have been known for decades (1) and found application in diverse fields such as antimicrobial agents, (2) adsorbents of methyl iodide in nuclear power plants, (3) and catalysts for methane activation, (4) 1-butene dimerization, (5) and nitrogen oxides and carbon monoxide redox reactions, (6) among others. (7) However, it is difficult to find in the literature the use of Ag-supported zeolites as catalysts for fine organic synthesis, despite the paramount relevance of Ag as catalyst in many organic transformations. (8,9) The lack of examples with Ag zeolites is due to the tendency of Ag to aggregate inside the zeolite and block the pores, hampering the diffusion and reactivity of molecules composed by more than three or four atoms. (10)
In the past decade, the advent of single-atom catalysts (SACs) has spurred the investigation of solid supports to generate and stabilize SACs on surfaces, with applications in organic synthesis. (11) In this regard, Ag is one of the more interesting chemical elements to be stabilized as a SAC, since its tendency to easily agglomerate, even with just ambient light, has severely hampered the study of the catalytic behavior of single- and few-atoms Ag entities, beyond those prepared by atom deposition or electrochemical techniques. (12) Our group has recently reported the synthesis of Ag dimers (Ag2) in metal organic frameworks (MOFs) and their use as catalysts for the Buchner reaction, (13a) the oxidation sulfonation of styrenes, (13b) and the methanation of CO2. (13c) However, single Ag atoms could not be prepared, and the electronics of the catalytically active Ag site were fixed by the MOF surroundings, without any room for catalytic tunability.
Here, we show that the commercially available, robust, and crystalline microporous aluminosilicate zeolite Y stabilizes catalytically active single Ag atoms and subnanometric clusters inside its cavities, after wet exchange with AgNO3 and calcination under air at 450 °C. Figure 1 shows that the charge-compensating cations of the zeolite regulate the electron density on the Ag site. (14) When going from H+ to Cs+, the electron density of the framework increases, since the bigger (softer) the counter cation, the higher the electron density on the framework, which is ultimately received by the Ag sites. (15) In other words, a regulated electron flow occurs internally in the zeolite from the counter cation site to the Ag site, since the less electronegative counter cations, i.e. Cs+, enable more electron density to be received by Ag. If one also considers the difference in size between counter cations, an array of different electronic and steric Ag-supported materials, with potential application in a diversity of organic reactions, is easily obtained.",introduction,"Ag, methane, 1-butene, nitrogen oxides, carbon monoxide, CO2, AgNO3, H+, Cs+"
"We will show here that the resulting zeolites catalyze representative carbene-mediated reactions in organic synthesis, such as the Buchner reaction and acetate insertion in methylene and hydroxyl bonds. (16,17) The Ag-zeolite enables the reaction of C–H and C–O bonds without requiring prefunctionalized substrates or leaving groups (such as halides, etc.), and not only the catalytic activity but also the selectivity of the reaction is dictated by the counter cation of the zeolite. To our knowledge, these carbene-mediated reactions are rarely catalyzed by a solid support, (18) and some of them are here catalyzed by Ag for the first time.",introduction,"carbene, methylene, hydroxyl, Ag"
"Commercially available H-USY zeolite features the lowest framework electron density among all cation-counterbalanced Y zeolites (see Figure 1); thus it was first chosen to support Ag, in order to minimize the reduction and agglomeration of the metal. Ag-HY zeolite was prepared by cationic exchange of H-USY zeolite (Si/Al = 15) with a solution of AgNO3 in water, to incorporate 1.08 wt % of Ag after calcination at 450 °C in air, according to inductively coupled plasma atomic emission spectroscopy (ICP-AES, Table S1 in the Supporting Information). This calcination temperature was chosen to decompose the nitrate ligands, as assessed by the lack of N in the elemental analysis (EA) of the calcined sample and also by the thermogravimetric analysis (TG, see Figure S8). It is worth commenting here that the cationic exchange method is preferred to the incipient wetness methodology since the former gives a homogeneous distribution of Ag cations on the zeolite surface and a stronger Ag–zeolite interaction, while the latter produces a heterogeneous distribution prone to facilitate the aggregation of Ag.",result and discussion,"AgNO3, Ag"
"In order to further check the oxidation and aggregation state of cationic Ag+ in Ag-HY, diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS) with carbon monoxide (CO) as a probe and also X-ray absorption spectroscopy (XAS) experiments, including X-ray absorption near edge structure (XANES) and extended X-ray absorption fine structure (EXAFS) measurements, were carried out. Figure 2 shows the results. The low-temperature DRIFTS-CO analysis shows main bands at 2180 and 2192 cm–1, assignable to linearly coordinated Ag+(CO) and Ag+(CO)2, respectively, (6c,21) together with the expected band at 2158 cm–1 corresponding to the interaction between CO and the strong protons of HY zeolite. (23) Although some minor bands can be detected at lower wavenumbers (i.e., the band at 2133 cm–1), it can be said here that cationic Ag species are mainly observed for the Ag-HY sample",result and discussion,carbon monoxide (CO)
"The new Ag-HY and Ag-HYcal zeolites were tested as catalysts for the Buchner reaction, a classical transformation in organic synthesis where a direct insertion of a carbene into the aromatic C–H bond followed by a C–C bond rearrangement occurs, which leads to otherwise very difficult to obtain cycloheptatrienes. (25) Table 1 shows the catalytic results for the reaction between ethyldiazoacetate (EDA) 1 and toluene 2 as a solvent (0.15 M), at 60 °C. For this aromatic substrate, alternatively, the insertion of the carbene into the methyl C–H bond to give the corresponding benzyl ester could also occur. The results show that the reaction does not proceed without a catalyst (entry 1), and soluble AgNO3 gives an 80% yield of the products (entry 2), mainly C–H insertion. The benchmark Rh2(OAc)4 catalyst for the Buchner reaction (25b) gives a 42% yield of Buchner product 3 and 20% of C–H insertion product 4 plus dimers (35%, entry 3). Thus, it seems that AgNO3 is more active and more selective that Rh2(OAc)4 under the present reaction conditions. With this in mind, it could very well occur that Ag-HY is also active in the carbene-mediated reaction. Notice that products 3 and 4 are both formed after N2 release and carbene formation, but while product 3 comes from the cyclopropanation reaction of the triplet carbene of 1 with the C?C double bonds of toluene 2 (Buchner reaction), product 4 comes from the insertion of the singlet carbene of 1 into the C–H methyl bond of 2. In other words, both reactions follow distinct activation mechanisms for 1, of course directed by the electronics (and perhaps sterics) of the catalytic metal site.",result and discussion,"carbene, cycloheptatrienes, ethyldiazoacetate, (EDA), toluene, methyl, benzyl ester, AgNO3, Rh2(OAc)4 , AgNO3, N2"
"The noncalcined Ag-HY zeolite shows complete conversion of 1; however, to our surprise, the main products found were 5 and 6, presumably coming from the insertion of the carbene in the O–H bond of water present in the zeolite (entry 4), (26) and only a 19% yield of C–H coupled products could be obtained. After calcination, Ag-HYcal shows a significant increase toward the C–C bond-forming coupled products 3 (5%) and 4 (31%); however, the main product still comes from water insertion (62%, entry 5). This result indicates that the more strongly adsorbed water molecules in the Ag-exchanged HY zeolite are acting as a reactant during the carbene reaction.
Reaction tests with 1 or 10 equiv of externally added water were carried out (Figure S7), and the results show that the reaction proceeds with complete conversion of 1 and that the product selectivity is not much varied, in other words, that external water does not participate during the O–H insertion found. Indeed, the in situ drying of the zeolite by applying vacuum at 250 °C before reaction did not improve the yield toward 3 + 4 (entry 6). Since the Ag-HYcal zeolite has lost most of the physisorbed water molecules but keeps the strongly chemisorbed water according to the corresponding TG (Figure S8), it could happen that the reuse of the zeolite will eliminate most of the O–H insertion products throughout the reuses, since chemisorbed water would become already reacted in the previous use and any external water added by the reagents would just exert a minimal influence in the reaction. In other words, the reaction of the zeolite with 1 was used as a method to deeply dry the zeolite framework of any adsorbed water molecules.",result and discussion,"Ag, carbene, zeolite"
"The higher catalytic activity of the alkaline-exchanged zeolites with respect to Ag-HY toward the C–C bond-forming products 3 and 4 could be due to an intrinsic higher selectivity of the Ag catalytic site for C–C and C–H bond activation or simply to a lack of water in the zeolite once dried. However, the FT-IR spectra of the calcined solids show similar amounts of adsorbed water in all zeolites (Figure S3). In order to check if Ag-(Li to K)NaYcal zeolites are less catalytically active than Ag-HYcal toward the insertion of the carbene in the O–H bonds, the catalytic reaction of EDA 1 in a mixture of water/ethanol 7 was performed. Ethanol 7 was coadded to water in order to assess the reactivity of an external O–H bond, not present in the zeolite. The results in Figure 4 show that the Ag-HYcal catalyst gives three times more yield of O–H insertion products 5 + 8 than the alkaline zeolites; indeed, product 8 is the major product. Thus, we can conclude that the higher catalytic activity of Ag-(Li to K)NaYcal zeolites to products 3 and 4 comes from a better intrinsic selectivity of the Ag catalysts toward C–C and C–H bond activation, while Ag-HYcal prefers to activate and insert the carbene in O–H bonds. Indeed, other alcohols such as 2-chloroethanol (98% yield), phenylethanol (98% yield), allyl alcohol (97% yield), and propargyl alcohol (95% yield) engaged extremely well in the Ag-HYcal-catalyzed reaction. In summary, the counter cation nature and not the water content is the major parameter affecting the activity and selectivity of the carbene insertion reaction: while HY directs the insertion toward O–H bonds in the presence of O-containing nucleophiles (such as water and alcohols) and toward C–C and C–H bonds, equally, without water in the reaction media, alkaline-earth cations divert the insertion toward C–C and C–H bonds, in an approximately 1:2 ratio (Figure S17). These selectivity results make sense if we consider that O–H bonds are much more polar than C?C or C–H bonds; thus, the higher the electron deficiency in the Ag catalytic site (the more Lewis acid the Ag is), the better the activation of the O–H vs C?C or C–H bonds.",result and discussion,"Ag, ethanol, alkaline zeolites, 2-chloroethanol, phenylethanol, allyl alcohol, propargyl alcohol"
"A product and DFT computational study on the reactions of 3-ethyl-3-(trifluoromethyl)dioxirane (ETFDO) with bicyclic and spirocyclic hydrocarbons bearing cyclopropyl groups was carried out. With bicyclo[n.1.0]alkanes (n = 3–6), diastereoselective formation of the alcohol product derived from C2–H bond hydroxylation was observed, accompanied by smaller amounts of products derived from oxygenation at other sites. With 1-methylbicyclo[4.1.0]heptane, rearranged products were also observed in addition to the unrearranged products deriving from oxygenation at the most activated C2–H and C5–H bonds. With spiro[2.5]octane and 6-tert-butylspiro[2.5]octane, reaction with ETFDO occurred predominantly or exclusively at the axial C4–H to give unrearranged oxygenation products, accompanied by smaller amounts of rearranged bicyclo[4.2.0]octan-1-ols. The good to outstanding site-selectivities and diastereoselectivities are paralleled by the calculated activation free energies for the corresponding reaction pathways. Computations show that the ?* orbitals of the bicyclo[n.1.0]alkane cis or trans C2–H bonds and spiro[2.5]octanes axial C4–H bond hyperconjugatively interact with the Walsh orbitals of the cyclopropane ring, activating these bonds toward HAT to ETFDO. The detection of rearranged oxygenation products in the oxidation of 1-methylbicyclo[4.1.0]heptane, spiro[2.5]octane, and 6-tert-butylspiro[2.5]octane provides unambiguous evidence for the involvement of cationic intermediates in these reactions, representing the first examples on the operation of ET pathways in dioxirane-mediated C(sp3)–H bond oxygenations. Computations support these findings, showing that formation of cationic intermediates is associated with specific stabilizing hyperconjugative interactions between the incipient carbon radical and the cyclopropane C–C bonding orbitals that trigger ET to the incipient dioxirane derived 1,1,1-trifluoro-2-hydroxy-2-butoxyl radical.",abstract,"3-ethyl-3-(trifluoromethyl)dioxirane, (ETFDO), spirocyclic hydrocarbons, cyclopropyl, bicyclo[n.1.0]alkanes, 1-methylbicyclo[4.1.0]heptane, spiro[2.5]octane, 6-tert-butylspiro[2.5]octane, bicyclo[4.2.0]octan-1-ols, bicyclo[n.1.0]alkane, spiro[2.5]octanes, cyclopropane ring, 1-methylbicyclo[4.1.0]heptane, spiro[2.5]octane, and 6-tert-butylspiro[2.5]octane, 1,1,1-trifluoro-2-hydroxy-2-butoxyl"
"The cyclopropyl group is an important and versatile motif. Because of its characteristic structural and bonding features, (1) substitution of cyclopropane can modify the properties of substrates and provide access to a variety of useful synthetic transformations. Accordingly, cyclopropane-containing molecules are finding increasing application in organic synthesis, (2) in drug development, (3) and as functional molecules in different fields. (4) The cyclopropyl group is also present in several natural products including terpenoids, steroids, and alkaloids, among which, many show biological activity and may serve as potential drug leads. (5)
A promising approach for structural diversification of cyclopropane containing molecules is represented by C(sp3)–H bond functionalization, a mainstream topic of modern synthetic chemistry. (6) Overlap between a cyclopropane Walsh C–C bonding orbital and the ?* antibonding orbital of an ?-C–H activates this bond toward functionalization (Figure 1a), providing a powerful handle to implement site-selectivity in these reactions. (6a)",introduction,"cyclopropyl, terpenoids, steroids, and alkaloids, cyclopropane"
"n the manuscript, a novel method for the preparation of cyclopenta[b]chromenocarbonitrile derivatives via [3+2] cycloaddition reaction of substituted 3-cyanochromones and N-cyclopropyloamines initiated by visible light catalysis has been described. The reaction was performed in the presence of Eosin Y as a photocatalyst. The key parameters responsible for the success of the described strategy are visible light, a small amount of photoredox catalyst, an anhydrous solvent, and an inert atmosphere.",abstract,"cyclopenta[b]chromenocarbonitrile, 3-cyanochromones, N-cyclopropyloamines"
"Cyclopentachromene is a common structural motif that is present in many natural products. Selected examples of bioactive derivatives, relevant to the life-science industry, are shown in Scheme 1. For instance, the natural product diaportheone B was isolated from the endophytic fungus Diaporthe sp. P133 and possess antituberculosis activity against the virulent strain of Mycobacterium tuberculosis. (1) Applanatumol Y was isolated by Cheng in 2016 from the fruiting body of Ganoderma applanatum, which is a wood-decaying fungi. (2) Total synthesis of this compound was performed by Ito using a Morita–Baylis–Hillman reaction as a key step. (2b) A cyclopentane structural motif constitutes a relevant building block that is widely employed in target-oriented synthesis and presented in many bioactive natural products and pharmaceuticals, including peramivir, (3) prostaglandins, (4) jatrophanes, (5) and pactamycin. (6)",introduction,cyclopentane
"Visible-light-induced radical functionalization has emerged as a valuable tool in the toolbox of synthetic chemists, enabling the efficient and selective formation of carbon–carbon bonds and the creation of novel organic molecules. It continues to be an active area of research, with ongoing developments and applications across various fields. (7) [3+2]-Cycloaddition reactions are a very useful tool for the synthesis of functionalized five-membered carbocycles or heterocycles. (8) 1,3-Dipolar cycloaddition involving ionic intermediates constitutes the most popular example. Recently, a new approach to [3+2]-cycloadditions involving radical intermediates has been introduced. (9)
In continuation of our interest in the development of photocatalytic reactions, (10) we turned our attention to the application of 3-cyanochromones and N-cyclopropyloamines as convenient starting materials for the synthesis of, interesting from a medicinal point of view, cyclopenta[b]chromenocarbonitrile products (Scheme 2).",introduction,"3-cyanochromones, N-cyclopropyloamines, cyclopenta[b]chromenocarbonitrile"
"Herein, we report an intermolecular [3+2]-cycloaddition of electron-poor olefins with cyclopropylanilines under visible light photocatalysis. The process is initiated by visible light, leading to the formation of cyclopentachromene derivatives. However, at the outset of our studies, challenges related to the radical nature of the transformation, its diastereoselectivity, and the utilization of trisubstituted olefin had to be considered.",introduction,cyclopropylanilines
"Initially, the [3+2]-photocycloaddition between chromen-4-one 5a and N-cyclopropylaniline 2a was performed in CH2Cl2 in the presence of fac-Ir(ppy)3 as a photocatalyst under irradiation with blue light and an inert atmosphere (Table 1, entry 1). As expected, no reaction was observed, which indicated the crucial role of the EWG-activation of 5 in the devised methodology. As highlighted in our previous work, the incorporation of an electron-withdrawing group into the chromenone is necessary to increase its electrophilic properties and hence for the reaction to occur. Therefore, the activation of 5 through the introduction of various activating groups in the 3-position was attempted (Table 1, entries 2–4). Most of the tested derivatives displayed no reactivity under these conditions, and the application of the CN group was crucial for the developed transformation (the cyano group exhibits a stronger electron-withdrawing effect when compared to other tested electron-deficient groups). Cycloaddition between 3-cyanochromone 1a and N-cyclopropylaniline 2a resulted in the formation of the desired product (Table 1, entry 4). The corresponding cyclopenta[b]chromeno-carbonitrile 3aa was obtained with 57% yield as a mixture of two diastereoisomers, which differed in the configuration on the C-1 stereogenic center. The importance of the nitrile group for the developed reactivity is presumably related to the ability of this group to stabilize both radical and anionic intermediates. (11,12) Various factors such as solvent, photocatalyst, and reaction concentration were tested in the course of optimization studies, while the temperature and N-cyclopropylaniline equivalents were held constant throughout. In the first part, the catalytic activity of five different photoredox catalysts was examined (with the irradiation with the light source of suitable wavelength) (Table 1, entries 4–8). All tested catalysts 4a–e provided the desired reactivity with the best results obtained in the presence of Eosin Y (Table 1, entry 7). During further investigations, the effect of the solvent on the reaction outcome was evaluated (Table 1, entries 7 and 9–13). This part of the studies revealed dimethyl sulfoxide to be the best solvent, providing the target product in 82% yield and with the diastereoisomer ratio at a level of 5:1 (Table 1, entry 13). Change in the amount of the catalyst negatively affected reaction efficiency (Table 1, entries 13–15). Subsequently, the effect of the reaction concentration on both the yield and diastereoselectivity was evaluated, but neither increasing nor decreasing improved the results of the cycloaddition (Table 1, entries 13, 16, and 17). Eventually, cyclopenta[b]chromeno-carbonitrile 3aa was formed in the presence of 5 mol% of Eosin Y in DMSO in 82% yield as a mixture of diastereoisomers in the 5:1 ratio. These results were validated on an initial scale up to 1.0 mmol, providing 3aa in 75% yield (Table 1, entry 19). A series of control experiments demonstrated that the reaction did not take place in the absence of a photocatalyst or in the dark, indicating the crucial effect of a photoredox catalyst and the source of light on the reaction outcome (Table 1, entries 20 and 21). Finally, the experiment in the presence of TEMPO was carried out, and no reaction was observed, thus confirming the radical nature of the developed reaction (Table 1, entry 22).",result and discussion,"CH2Cl2, 3-cyanochromone, N-cyclopropylaniline, cyclopenta[b]chromeno-carbonitrile, dimethyl sulfoxide, TEMPO "
"With the optimized reaction conditions in hand (Table 1, entry 13), the applicability of the developed methodology with regard to both reaction partners was examined (Schemes 3 and 4). Initially, various 3-cyanochromones 1a–i containing either electron-withdrawing or donating substituents were tested in the [3+2]-photocycloaddition with N-cyclopropylaniline 2a (Scheme 3). To our delight, the reaction proceeded efficiently, and in most cases, the desired products were obtained with yields in the range of 70–80%. Only for the 3-cyanochromones 1g, h with a methyl substituent in the 6- and 7-position, the yield of the reaction lowered to 58 and 59%, respectively. In this context, it is worth noting that for the example with a chlorine substituent on the aromatic ring of 3-cyanochromone 1f the cycloaddition proceeded with an excellent yield, and it was as high as 93%. Gratifyingly, the studies also indicated that the position of the substituent in 3-cyanochromone 1 had no pronounced influence on the reaction outcome, and the introduction of two substituents on the aromatic ring was also possible (Scheme 3, product 3ia). In terms of diastereoselectivity, the cycloaddition was found to be unbiased toward the electronic properties of substituents, and it remained at a similar level to the model reaction.",result and discussion,"3-cyanochromones, N-cyclopropylaniline"
"In the second part of the scope studies, the possibility of employing various N-arylcyclopropylamines 2a–f in the devised strategy was tested (Scheme 4). Unfortunately, it was found that the efficiency of the cascade reaction decreased, and target products 3ab–3af were obtained in yields within the range of 42–82%. The lowest efficiency was obtained when N-cyclopropylaniline with an electron-accepting chlorine substituent was applied; in addition, the diastereoselectivity of the process decreased and amounted to only 2:1 dr (Scheme 4, product 3af). In some of the cases, it was required to extend the reaction time from 24 to 72 h in order to achieve full conversion (Scheme 4, products 3ad, 3ae). To our delight, for the example with two trifluoromethyl groups on the aromatic ring of the N-cyclopropylaniline 2e the diastereoselectivity of the cycloaddition increased to 10:1 dr. Unfortunately, for monosubstituted N-cyclopropylaniline 2f the diastereomeric ratio remained at a moderate level.",result and discussion,"N-arylcyclopropylamines, N-cyclopropylaniline"
"In order to assign the relative configuration of target products 3, single-crystal X-ray analysis was performed. To our delight, the major diastereoisomer of 3ae provided crystals suitable for this experiment. (13) The relative configuration of all major diastereoisomers of 3 was established by analogy (Scheme 5). To get insight into the reaction mechanism, a set of control experiments was performed (Table 1, entries 20–22) and the control reaction with TEMPO is consistent with a radical mechanism. Consequently, the catalytic cycle of the reaction and the stereochemical model accounting for the formation of the major diastereomer were proposed (Scheme 5b). It is postulated that the oxidation of N-cyclopropylaniline 2a by a photoexcited catalyst initiates the reaction to form the corresponding amine radical cation 5. Then ring-opening of 5 affords the distonic radical cation 6 and the cycloaddition leads to the annulation of the five-membered ring, yielding the amine radical 7. The approach of radical 6 to substrate 1 is governed by steric factors. The subsequent reduction of 7 leads to the target product 3aa and the regeneration of catalyst Eosin Y, which restarts the catalytic cycle",result and discussion,"TEMPO, N-cyclopropylaniline, amine"
"In summary, we have developed a new visible-light-mediated synthetic methodology, leading to the formation of hybrid molecules containing chromone and cyclopentane rings. The protocol was realized in the presence of 5 mol % of Eosin Y as a catalyst in dry DMSO as a solvent. The presented methodology gives access to fourteen functionalized cyclopenta[b]chromenocarbonitriles 3aa–3ag under mild reaction conditions in good yields and diastereoselectivity. The utility of the obtained products was demonstrated in chemoselective reduction.",conclusion,"cyclopentane, DMSO, cyclopenta[b]chromenocarbonitriles"
"The first example of the Kumada–Tamao–Corriu type reaction of unprotected bromoanilines with Grignard reagents is described. The method uses a palladium source and a newly designed Buchwald-type ligand as the catalytic system. Secondary and tertiary bromo- and iodoamines were also successfully coupled to alkyl Grignard reagents. The products of the competitive ?-hydride elimination reaction were successfully reduced using a highly efficient electron-deficient phosphine ligand (BPhos). Mechanistic considerations allowed us to establish that the less electron-rich phosphine ligands stabilize the transition state much better than the electron-rich ones; hence, they increase the reaction yield and reduce the amount of ?-hydride elimination products. The developed method proved to be tolerant of many functional groups and can be applied to many different aromatic bromo- and iodoamines. Multigram synthesis of p-toluidine from 4-bromoaniline was achieved with a palladium catalyst loading of only 0.03 mol%.",abstract,"Grignard reagents, palladium, bromo- and iodoamines, alkyl Grignard reagents, phosphine ligand, (BPhos), p-toluidine, 4-bromoaniline "
"Direct introduction of an alkyl group to an aromatic ring of primary aromatic amines remains a challenging transformation. Electrophilic Friedel–Crafts-type alkylation reactions are of limited scope due to the deactivation of the Lewis acid by an unprotected NH2 group and/or competitive alkylation reactions on the nitrogen atom. However, few synthetic methods were reported, including catalytic alkylations with organozinc compounds, (1?5) and a few other catalytic methods (6?10) or reactions utilizing protonated anilines. (11,12) The C(sp2)–C(sp3) catalytic coupling reactions between aromatic halides and aliphatic organometallics have attracted significant attention in recent years. These types of C–C coupling reactions constitute an efficient tool for rapid and predictive increase of molecular complexity of aromatic compounds. The advantage of these reactions is the availability of the starting materials, organometallic reagents (i.e., Zn, B), catalysts (Pd, Ni, Fe), and phosphine ligands. (2,3,13?19) Importantly, the newly formed C–C bond is introduced with a high degree of regioselectivity, making this method suitable for late-stage modification of complex molecules as a large-scale synthesis of intermediates. However, if organometallics more complex than methyl derivatives are used, ?-hydride elimination takes place as a side reaction, resulting in an overall decrease in yield.",introduction,"alkyl, amines, NH2, nitrogen atom, organozinc, aromatic halides, aliphatic organometallics, phosphine, methyl "
The utilization of the Grignard reagents (the Kumada–Tamao–Corriu reaction) in such couplings is particularly attractive due to their commercial availability and easy synthetic accessibility. (20) This article reports the coupling of the unprotected iodo- and bromosubstituted aromatic amines with simple alkylmagnesium bromides under mild conditions. We also report a highly efficient Buchwald-type phosphine ligand that allows for the reduction of ?-hydride elimination side reactions.,introduction,"Grignard reagents, iodo- and bromosubstituted aromatic amines, alkylmagnesium bromides"
"Our work commenced with screening commercially available phosphine ligands for coupling 4-iodooaniline (1a) and 4-bromoaniline (1b) with methylmagnesium bromide and n-butylmagnesium bromide. The reactions were performed by the addition of phosphine ligand and a palladium source mixture to the vial or a Schlenk tube containing the starting material and the Grignard reagent in anhydrous THF under inert gas. After the initial screening, Pd2(dba)3 and phosphine ligand in a 1:3 molar ratio were used as the catalytic system for reactions with MeMgBr. In the case of n-BuMgBr, [Pd(allyl)Cl]2 proved to be more efficient (see the Supporting Information for details). In all experiments, 3-fold excess of the Grignard reagent was used as we assumed that at least 1 equiv of this reagent is consumed for the deprotonation of the free NH2 group. Indeed, the addition of the Grignard reagent is an exothermic process proceeding with a gas release that results in the warming up of the reaction mixture, which in turn leads to the acceleration of the process and completion of the reaction within minutes. Although this phenomenon may be considered beneficial, it generates difficulties in comparing individual catalytic systems. Therefore, we decided to add the Grignard reagents at 0 °C, then the reaction mixtures were allowed to reach the ambient temperature for 10 min, the catalytic system was then added, and the time required to achieve reaction completion was determined by GC-MS.",result and discussion,"phosphine, 4-iodooaniline, 4-bromoaniline, methylmagnesium bromide, n-butylmagnesium bromide, Grignard reagent, anhydrous THF, Pd2(dba)3, phosphine, MeMgBr, n-BuMgBr, [Pd(allyl)Cl]2, NH2"
"Commercially available Buchwald ligands (see Supporting Information for structures), containing t-butyl groups on the phosphorus atom (JohnPhos, t-BuXPhos, t-BuBrettPhos, t-BuDavePhos, Me4t-BuXPhos, and TrixiePhos) gave poor results in the coupling of MeMgBr with 1a (Scheme 1). This is in sharp contrast to the cyclohexyl substituted phosphines (CyJohnPhos, BrettPhos, DavePhos, CPhos, RuPhos, and SPhos), which gave much higher yields of p-toluidine than their t-butyl analogs. In the case of CPhos, RuPhos, and SPhos, the reaction was complete in less than 1 h, and after a 4-fold reduction in the catalyst load, the reaction came to an end within 18 h.",result and discussion,"t-butyl, phosphorus atom, JohnPhos, t-BuXPhos, t-BuBrettPhos, t-BuDavePhos, Me4t-BuXPhos, and TrixiePhos, MeMgBr, cyclohexyl, phosphines, CyJohnPhos, BrettPhos, DavePhos, CPhos, RuPhos, and SPhos, p-toluidine, CPhos, RuPhos, and SPhos"
"Encouraged by these results, we found that also the 4-bromoaniline (1b) can be transformed into p-toluidine with XPhos, t-BuXPhos, SPhos, and CPhos ligands, although longer reaction times were required in most cases. It should be noted that the best result was achieved using t-BuXPhos, a ligand that was inefficient in the coupling of 1a.",result and discussion,"4-bromoaniline, p-toluidine, XPhos, t-BuXPhos, SPhos, CPhos, t-BuXPhos"
